timestamp, utilization.gpu [%], memory.used [MiB]
2026/09/25 02:49:27.867, 42 %, 56 MiB
2026/09/25 02:49:28.867, 42 %, 56 MiB
2026/09/25 02:49:29.867, 19 %, 56 MiB
2026/09/25 02:49:30.868, 39 %, 56 MiB
2026/09/25 02:49:31.868, 42 %, 56 MiB
2026/09/25 02:49:32.868, 23 %, 56 MiB
2026/09/25 02:49:33.868, 19 %, 56 MiB
2026/09/25 02:49:34.868, 42 %, 56 MiB
2026/09/25 02:49:35.868, 43 %, 56 MiB
2026/09/25 02:49:36.869, 19 %, 56 MiB
2026/09/25 02:49:37.869, 19 %, 56 MiB
2026/09/25 02:49:38.869, 42 %, 56 MiB
2026/09/25 02:49:39.869, 42 %, 56 MiB
2026/09/25 02:49:40.869, 19 %, 56 MiB
2026/09/25 02:49:41.870, 19 %, 56 MiB
2026/09/25 02:49:42.870, 43 %, 56 MiB
2026/09/25 02:49:43.870, 43 %, 56 MiB
2026/09/25 02:49:44.870, 19 %, 56 MiB
2026/09/25 02:49:45.870, 41 %, 56 MiB
2026/09/25 02:49:46.870, 43 %, 56 MiB
2026/09/25 02:49:47.871, 19 %, 56 MiB
2026/09/25 02:49:48.871, 19 %, 56 MiB
2026/09/25 02:49:49.871, 42 %, 56 MiB
2026/09/25 02:49:50.872, 42 %, 56 MiB
2026/09/25 02:49:51.872, 19 %, 56 MiB
2026/09/25 02:49:52.872, 19 %, 56 MiB
2026/09/25 02:49:53.872, 42 %, 56 MiB
2026/09/25 02:49:54.873, 42 %, 56 MiB
2026/09/25 02:49:55.873, 19 %, 56 MiB
2026/09/25 02:49:56.873, 41 %, 56 MiB
2026/09/25 02:49:57.873, 42 %, 56 MiB
2026/09/25 02:49:58.873, 19 %, 56 MiB
2026/09/25 02:49:59.874, 19 %, 56 MiB
2026/09/25 02:50:00.874, 43 %, 56 MiB
2026/09/25 02:50:01.874, 43 %, 56 MiB
2026/09/25 02:50:02.874, 19 %, 56 MiB
2026/09/25 02:50:03.874, 39 %, 56 MiB
2026/09/25 02:50:04.874, 42 %, 56 MiB
2026/09/25 02:50:05.875, 19 %, 56 MiB
2026/09/25 02:50:06.875, 19 %, 56 MiB
2026/09/25 02:50:07.875, 42 %, 56 MiB
2026/09/25 02:50:08.875, 42 %, 56 MiB
2026/09/25 02:50:09.875, 19 %, 56 MiB
2026/09/25 02:50:10.875, 41 %, 56 MiB
2026/09/25 02:50:11.876, 42 %, 56 MiB
2026/09/25 02:50:12.876, 19 %, 56 MiB
2026/09/25 02:50:13.876, 19 %, 56 MiB
2026/09/25 02:50:14.876, 42 %, 56 MiB
2026/09/25 02:50:15.876, 42 %, 56 MiB
2026/09/25 02:50:16.876, 19 %, 56 MiB
2026/09/25 02:50:17.877, 43 %, 56 MiB
2026/09/25 02:50:18.877, 42 %, 56 MiB
2026/09/25 02:50:19.877, 19 %, 56 MiB
2026/09/25 02:50:20.877, 19 %, 56 MiB
2026/09/25 02:50:21.877, 42 %, 56 MiB
2026/09/25 02:50:22.877, 42 %, 56 MiB
2026/09/25 02:50:23.878, 19 %, 56 MiB
2026/09/25 02:50:24.878, 19 %, 56 MiB
2026/09/25 02:50:25.878, 42 %, 56 MiB
2026/09/25 02:50:26.878, 42 %, 56 MiB
2026/09/25 02:50:27.878, 19 %, 56 MiB
2026/09/25 02:50:28.879, 42 %, 56 MiB
2026/09/25 02:50:29.879, 42 %, 56 MiB
2026/09/25 02:50:30.879, 19 %, 56 MiB
2026/09/25 02:50:31.879, 19 %, 56 MiB
2026/09/25 02:50:32.879, 42 %, 56 MiB
2026/09/25 02:50:33.879, 42 %, 56 MiB
2026/09/25 02:50:34.880, 19 %, 56 MiB
2026/09/25 02:50:35.880, 19 %, 56 MiB
2026/09/25 02:50:36.880, 42 %, 56 MiB
2026/09/25 02:50:37.880, 42 %, 56 MiB
2026/09/25 02:50:38.880, 19 %, 56 MiB
2026/09/25 02:50:39.880, 19 %, 56 MiB
2026/09/25 02:50:40.881, 42 %, 56 MiB
2026/09/25 02:50:41.881, 42 %, 56 MiB
2026/09/25 02:50:42.881, 19 %, 56 MiB
2026/09/25 02:50:43.881, 43 %, 56 MiB
2026/09/25 02:50:44.881, 42 %, 56 MiB
2026/09/25 02:50:45.881, 19 %, 56 MiB
2026/09/25 02:50:46.882, 19 %, 56 MiB
2026/09/25 02:50:47.888, 42 %, 56 MiB
2026/09/25 02:50:48.888, 42 %, 56 MiB
