timestamp, utilization.gpu [%], memory.used [MiB]
2026/09/25 06:15:53.143, 42 %, 56 MiB
2026/09/25 06:15:54.143, 23 %, 56 MiB
2026/09/25 06:15:55.143, 19 %, 56 MiB
2026/09/25 06:15:56.143, 43 %, 56 MiB
2026/09/25 06:15:57.143, 42 %, 56 MiB
2026/09/25 06:15:58.144, 23 %, 56 MiB
2026/09/25 06:15:59.144, 19 %, 56 MiB
2026/09/25 06:16:00.144, 43 %, 56 MiB
2026/09/25 06:16:01.144, 43 %, 56 MiB
2026/09/25 06:16:02.144, 19 %, 56 MiB
2026/09/25 06:16:03.145, 19 %, 56 MiB
2026/09/25 06:16:04.145, 42 %, 56 MiB
2026/09/25 06:16:05.145, 43 %, 56 MiB
2026/09/25 06:16:06.145, 19 %, 56 MiB
2026/09/25 06:16:07.145, 40 %, 56 MiB
2026/09/25 06:16:08.145, 42 %, 56 MiB
2026/09/25 06:16:09.146, 22 %, 56 MiB
2026/09/25 06:16:10.146, 19 %, 56 MiB
2026/09/25 06:16:11.146, 43 %, 56 MiB
2026/09/25 06:16:12.146, 42 %, 56 MiB
2026/09/25 06:16:13.146, 19 %, 56 MiB
2026/09/25 06:16:14.147, 19 %, 56 MiB
2026/09/25 06:16:15.147, 42 %, 56 MiB
2026/09/25 06:16:16.147, 23 %, 56 MiB
2026/09/25 06:16:17.147, 19 %, 56 MiB
2026/09/25 06:16:18.147, 42 %, 56 MiB
2026/09/25 06:16:19.147, 43 %, 56 MiB
2026/09/25 06:16:20.148, 19 %, 56 MiB
2026/09/25 06:16:21.148, 19 %, 56 MiB
2026/09/25 06:16:22.148, 42 %, 56 MiB
2026/09/25 06:16:23.148, 23 %, 56 MiB
2026/09/25 06:16:24.148, 19 %, 56 MiB
2026/09/25 06:16:25.148, 42 %, 56 MiB
2026/09/25 06:16:26.149, 42 %, 56 MiB
2026/09/25 06:16:27.149, 19 %, 56 MiB
2026/09/25 06:16:28.149, 19 %, 56 MiB
2026/09/25 06:16:29.149, 42 %, 56 MiB
2026/09/25 06:16:30.149, 22 %, 56 MiB
2026/09/25 06:16:31.150, 19 %, 56 MiB
2026/09/25 06:16:32.150, 43 %, 56 MiB
2026/09/25 06:16:33.150, 42 %, 56 MiB
2026/09/25 06:16:34.150, 19 %, 56 MiB
2026/09/25 06:16:35.150, 19 %, 56 MiB
2026/09/25 06:16:36.150, 42 %, 56 MiB
2026/09/25 06:16:37.151, 43 %, 56 MiB
2026/09/25 06:16:38.151, 19 %, 56 MiB
2026/09/25 06:16:39.151, 19 %, 56 MiB
2026/09/25 06:16:40.151, 42 %, 56 MiB
2026/09/25 06:16:41.151, 22 %, 56 MiB
2026/09/25 06:16:42.151, 19 %, 56 MiB
2026/09/25 06:16:43.152, 42 %, 56 MiB
2026/09/25 06:16:44.152, 42 %, 56 MiB
2026/09/25 06:16:45.152, 19 %, 56 MiB
2026/09/25 06:16:46.158, 19 %, 56 MiB
2026/09/25 06:16:47.158, 42 %, 56 MiB
2026/09/25 06:16:48.158, 43 %, 56 MiB
2026/09/25 06:16:49.158, 19 %, 56 MiB
2026/09/25 06:16:50.159, 19 %, 56 MiB
2026/09/25 06:16:51.160, 42 %, 56 MiB
2026/09/25 06:16:52.160, 43 %, 56 MiB
2026/09/25 06:16:53.161, 19 %, 56 MiB
2026/09/25 06:16:54.161, 19 %, 56 MiB
2026/09/25 06:16:55.161, 42 %, 56 MiB
2026/09/25 06:16:56.161, 42 %, 56 MiB
2026/09/25 06:16:57.161, 19 %, 56 MiB
2026/09/25 06:16:58.161, 41 %, 56 MiB
2026/09/25 06:16:59.162, 42 %, 56 MiB
2026/09/25 06:17:00.162, 19 %, 56 MiB
2026/09/25 06:17:01.162, 19 %, 56 MiB
2026/09/25 06:17:02.163, 42 %, 56 MiB
2026/09/25 06:17:03.163, 43 %, 56 MiB
2026/09/25 06:17:04.163, 19 %, 56 MiB
2026/09/25 06:17:05.164, 19 %, 56 MiB
2026/09/25 06:17:06.164, 42 %, 56 MiB
2026/09/25 06:17:07.164, 22 %, 56 MiB
2026/09/25 06:17:08.164, 19 %, 56 MiB
2026/09/25 06:17:09.164, 42 %, 56 MiB
2026/09/25 06:17:10.164, 42 %, 56 MiB
2026/09/25 06:17:11.165, 19 %, 56 MiB
2026/09/25 06:17:12.165, 19 %, 56 MiB
2026/09/25 06:17:13.165, 42 %, 56 MiB
2026/09/25 06:17:14.165, 23 %, 56 MiB
2026/09/25 06:17:15.165, 19 %, 56 MiB
2026/09/25 06:17:16.166, 42 %, 56 MiB
2026/09/25 06:17:17.166, 42 %, 56 MiB
2026/09/25 06:17:18.166, 19 %, 56 MiB
2026/09/25 06:17:19.166, 19 %, 56 MiB
2026/09/25 06:17:20.166, 42 %, 56 MiB
2026/09/25 06:17:21.167, 22 %, 56 MiB
2026/09/25 06:17:22.167, 19 %, 56 MiB
2026/09/25 06:17:23.167, 43 %, 56 MiB
2026/09/25 06:17:24.167, 42 %, 56 MiB
2026/09/25 06:17:25.167, 19 %, 56 MiB
2026/09/25 06:17:26.167, 19 %, 56 MiB
2026/09/25 06:17:27.168, 42 %, 56 MiB
2026/09/25 06:17:28.168, 43 %, 56 MiB
2026/09/25 06:17:29.168, 19 %, 56 MiB
2026/09/25 06:17:30.168, 41 %, 56 MiB
2026/09/25 06:17:31.168, 42 %, 56 MiB
2026/09/25 06:17:32.169, 19 %, 56 MiB
2026/09/25 06:17:33.169, 19 %, 56 MiB
2026/09/25 06:17:34.169, 42 %, 56 MiB
2026/09/25 06:17:35.169, 42 %, 56 MiB
2026/09/25 06:17:36.169, 19 %, 56 MiB
2026/09/25 06:17:37.169, 19 %, 56 MiB
2026/09/25 06:17:38.170, 42 %, 56 MiB
2026/09/25 06:17:39.170, 42 %, 56 MiB
2026/09/25 06:17:40.170, 19 %, 56 MiB
2026/09/25 06:17:41.170, 19 %, 56 MiB
2026/09/25 06:17:42.170, 42 %, 56 MiB
2026/09/25 06:17:43.171, 42 %, 56 MiB
2026/09/25 06:17:44.171, 19 %, 56 MiB
2026/09/25 06:17:45.171, 39 %, 56 MiB
2026/09/25 06:17:46.171, 42 %, 56 MiB
2026/09/25 06:17:47.171, 19 %, 56 MiB
2026/09/25 06:17:48.171, 19 %, 56 MiB
2026/09/25 06:17:49.172, 42 %, 56 MiB
2026/09/25 06:17:50.172, 42 %, 56 MiB
2026/09/25 06:17:51.172, 19 %, 56 MiB
2026/09/25 06:17:52.172, 19 %, 56 MiB
2026/09/25 06:17:53.172, 42 %, 56 MiB
2026/09/25 06:17:54.173, 42 %, 56 MiB
2026/09/25 06:17:55.173, 19 %, 56 MiB
2026/09/25 06:17:56.173, 19 %, 56 MiB
2026/09/25 06:17:57.173, 42 %, 56 MiB
2026/09/25 06:17:58.173, 42 %, 56 MiB
2026/09/25 06:17:59.173, 19 %, 56 MiB
2026/09/25 06:18:00.174, 19 %, 56 MiB
2026/09/25 06:18:01.174, 42 %, 56 MiB
2026/09/25 06:18:02.174, 19 %, 56 MiB
2026/09/25 06:18:03.174, 19 %, 56 MiB
2026/09/25 06:18:04.174, 42 %, 56 MiB
2026/09/25 06:18:05.175, 42 %, 56 MiB
2026/09/25 06:18:06.175, 19 %, 56 MiB
2026/09/25 06:18:07.175, 19 %, 56 MiB
2026/09/25 06:18:08.175, 42 %, 56 MiB
2026/09/25 06:18:09.175, 42 %, 56 MiB
2026/09/25 06:18:10.175, 19 %, 56 MiB
2026/09/25 06:18:11.176, 19 %, 56 MiB
2026/09/25 06:18:12.176, 42 %, 56 MiB
2026/09/25 06:18:13.176, 19 %, 56 MiB
2026/09/25 06:18:14.176, 19 %, 56 MiB
2026/09/25 06:18:15.176, 42 %, 56 MiB
2026/09/25 06:18:16.177, 42 %, 56 MiB
2026/09/25 06:18:17.177, 19 %, 56 MiB
2026/09/25 06:18:18.177, 19 %, 56 MiB
2026/09/25 06:18:19.177, 42 %, 56 MiB
2026/09/25 06:18:20.177, 19 %, 56 MiB
2026/09/25 06:18:21.177, 19 %, 56 MiB
2026/09/25 06:18:22.177, 42 %, 56 MiB
2026/09/25 06:18:23.178, 42 %, 56 MiB
2026/09/25 06:18:24.178, 19 %, 56 MiB
2026/09/25 06:18:25.178, 19 %, 56 MiB
2026/09/25 06:18:26.178, 42 %, 56 MiB
2026/09/25 06:18:27.178, 19 %, 56 MiB
2026/09/25 06:18:28.178, 19 %, 56 MiB
2026/09/25 06:18:29.179, 42 %, 56 MiB
2026/09/25 06:18:30.179, 43 %, 56 MiB
2026/09/25 06:18:31.179, 19 %, 56 MiB
2026/09/25 06:18:32.180, 19 %, 56 MiB
